Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS1_LandingPage,Edge Chromium 129,,,30-09-2024 21:48:16,30-09-2024 21:48:26,9.860s,PASSED
,,,,,,,
Test Cases/TC1_LandingPage,Edge Chromium 129,,,30-09-2024 21:48:16,30-09-2024 21:48:26,9.545s,PASSED
"openBrowser("""")",Edge Chromium 129,,,30-09-2024 21:48:17,30-09-2024 21:48:21,4.312s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Edge Chromium 129,,,30-09-2024 21:48:21,30-09-2024 21:48:25,3.674s,PASSED
"click(findTestObject(""Object Repository/TC1_LandingPage_OR/Page_CURA Healthcare Service/strong_CURA Healthcare Service""))",Edge Chromium 129,,,30-09-2024 21:48:25,30-09-2024 21:48:25,0.555s,PASSED
closeBrowser(),Edge Chromium 129,,,30-09-2024 21:48:25,30-09-2024 21:48:26,0.454s,PASSED
